mean,std,median,D,xmin,alpha
3.510313086,13.43708072,1,0.009447341,7,2.574875016
3.50965964,12.74780644,1,0.006795967,9,2.57765056
3.542246719,14.71066354,1,0.006400837,9,2.557259076
3.54835502,13.43310668,1,0.010130763,10,2.600330031
3.546195807,11.9857298,1,0.008388762,7,2.550360769
3.456986192,11.36560892,1,0.011079295,7,2.598548181
3.441331894,13.60132675,1,0.008883565,7,2.604798107
3.543297915,13.53073697,1,0.010081831,14,2.611177298
3.542729701,13.55836384,1,0.008109718,7,2.578123227
3.677112336,20.18528962,1,0.009529491,8,2.546594098
3.554264447,14.34004359,1,0.005942047,7,2.600811155
3.443207,12.05503551,1,0.006870843,7,2.612881559
3.494573555,15.55376517,1,0.007383779,7,2.653291967
3.587931132,15.53710931,1,0.008514961,7,2.55207562
3.621768282,13.12799348,1,0.011912184,9,2.51572261
3.446531053,15.01938713,1,0.005519063,7,2.612098171
3.602477413,16.92650799,1,0.008297855,7,2.541867162
3.487158361,13.69104363,1,0.009530358,7,2.578669414
3.455167907,10.97543186,1,0.012216886,7,2.574856232
3.513722371,14.48894046,1,0.009213402,7,2.593397538
3.589010739,15.6234243,1,0.004433252,7,2.564165695
3.472441616,10.65176534,1,0.012652046,13,2.654547902
3.460651173,11.14571036,1,0.009751768,7,2.586280935
3.619495426,17.79330992,1,0.010257227,8,2.541478731
3.60798909,13.38551772,1,0.010557922,7,2.564184925
3.461844423,9.370474466,1,0.00605745,7,2.584627071
3.358685153,8.689628777,1,0.007291695,7,2.621029688
3.440962555,12.96155463,1,0.01130421,13,2.58432971
3.520427297,14.68347481,1,0.007885155,10,2.606731177
3.630916529,17.05104278,2,0.007173434,7,2.568113135
3.51974544,12.3790607,1,0.009248306,9,2.604051096
3.600204557,18.80565783,1,0.00575813,7,2.606584089
3.44599125,12.67897815,1,0.00931156,7,2.647444193
3.471333598,14.35348847,1,0.005615752,7,2.576804375
3.530115347,11.61053253,1,0.00685942,7,2.583139852
3.630746065,13.57760576,1,0.009811239,12,2.520407674
3.546394682,16.37943062,1,0.011995855,8,2.614703852
3.471873402,16.54333069,1,0.009755218,10,2.596756621
3.486448094,11.33403457,1,0.00598859,7,2.599227836
3.497130519,15.5792062,1,0.007888181,7,2.572547168
3.584408205,14.73366284,1,0.008850556,7,2.535448348
3.465850332,15.06486011,1,0.011302427,10,2.56286506
3.492499574,13.81148344,1,0.007806898,8,2.588114395
3.753395079,17.62922664,1,0.012979495,10,2.468051991
3.488010682,11.11771422,1,0.008169869,12,2.578037907
3.269049378,7.638967851,1,0.004962342,7,2.683528427
3.617677141,15.71218207,1,0.01066503,7,2.552694398
3.399170407,8.718644607,1,0.009565602,7,2.607139843
3.387777715,8.996776737,1,0.007759499,7,2.584381239
3.428149327,10.14368027,1,0.006811817,7,2.592366684
3.506818569,13.06377189,1,0.007853567,8,2.567255708
3.492045003,15.81276937,1,0.009045636,7,2.591346884
3.459060174,13.53572812,1,0.006247664,7,2.61554648
3.507415194,14.30891038,1,0.010716031,7,2.600508382
3.482243309,14.01760803,1,0.004679124,7,2.551022492
3.306466276,7.807974284,1,0.005950623,7,2.648468792
3.443803625,9.194089947,1,0.00747221,7,2.576854072
3.420563668,9.984284196,1,0.008181279,13,2.609982246
3.452781408,12.58160365,1,0.008667974,7,2.618105674
3.46616285,10.71440035,1,0.012557793,10,2.580414564
3.484828683,13.41397811,1,0.010189662,8,2.565118049
3.396698676,9.403463981,1,0.010864413,7,2.605487046
3.586965168,15.17098159,1,0.005907618,8,2.57471105
3.463407012,14.34420801,1,0.007404488,11,2.617899531
3.637110063,16.88975477,1,0.008471916,10,2.515283191
3.55920791,15.09458795,1,0.006526374,8,2.557537705
3.58338542,15.10942789,1,0.007953023,7,2.557454763
3.476760043,14.22658491,1,0.007312143,7,2.597653163
3.558099892,15.78957268,1,0.012508044,11,2.578434651
3.454230354,12.98815583,1,0.011095112,7,2.643989845
3.488550486,11.05010425,1,0.007884693,7,2.558611629
3.516222513,13.00114319,1,0.010877668,7,2.583920099
3.464458208,11.87389351,1,0.008806512,7,2.624909318
3.505738962,11.65683337,1,0.008708399,7,2.597550378
3.486050344,17.41001448,1,0.004129401,10,2.623940338
3.540172737,14.00760256,1,0.006664757,7,2.589211967
3.61281891,16.87301915,1,0.009272265,8,2.577627635
3.619324962,17.55872206,1,0.013097982,12,2.523738751
3.5225581,13.5726057,1,0.010031861,9,2.555249607
3.514375817,11.07882105,1,0.009408256,8,2.520232853
